Team,M,W,D,L,GF,GA,GD,Pts
Manchester City,38,30,8,0,82.0,34.0,48.0,98
Manchester Utd,38,30,5,3,86.0,38.0,48.0,95
Tottenham,38,28,8,2,82.0,37.0,45.0,92
Liverpool,38,26,11,1,76.0,38.0,38.0,89
Chelsea,38,23,14,1,60.0,29.0,31.0,83
Arsenal,38,14,19,5,52.0,42.0,10.0,61
Leicester City,38,15,11,12,57.0,57.0,0.0,56
West Ham,38,12,16,10,56.0,50.0,6.0,52
Crystal Palace,38,10,22,6,47.0,42.0,5.0,52
Aston Villa,38,12,16,10,51.0,49.0,2.0,52
Newcastle Utd,38,13,12,13,52.0,56.0,-4.0,51
Brentford,38,9,17,12,46.0,53.0,-7.0,44
Bournemouth,38,9,13,16,51.0,62.0,-11.0,40
Wolves,38,2,26,10,34.0,46.0,-12.0,32
Brighton,38,4,18,16,41.0,55.0,-14.0,30
Everton,38,3,14,21,41.0,68.0,-27.0,23
Leeds United,38,4,11,23,38.0,68.0,-30.0,23
Southampton,38,1,9,28,38.0,76.0,-38.0,12
Nott'ham Forest,38,0,10,28,33.0,76.0,-43.0,10
Fulham,38,0,10,28,30.0,77.0,-47.0,10
